MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1004088092448,15.56,0.06,245.51028,-3.17182,54156.51871,0
1004088092448,15.60,0.07,245.51027,-3.17175,54256.31329,0
1004088092448,15.58,0.07,245.51026,-3.17183,54256.32081,0
1004088092448,15.54,0.06,245.51025,-3.17176,54256.32835,0
1004088092448,15.61,0.07,245.51027,-3.17176,54256.33589,0
1004088092448,15.56,0.06,245.51030,-3.17183,54175.48497,0
1004088092448,15.55,0.06,245.51030,-3.17180,54175.49149,0
1004088092448,15.57,0.06,245.51026,-3.17182,54175.49808,0
1004088092448,15.58,0.06,245.51021,-3.17180,54175.50468,0
1004088092448,15.56,0.06,245.51029,-3.17179,54184.47105,0
1004088092448,15.57,0.06,245.51031,-3.17180,54184.47597,0
1004088092448,15.54,0.07,245.51027,-3.17178,54184.48082,0
1004088092448,15.59,0.06,245.51029,-3.17180,54184.48567,0
1004088092448,15.59,0.07,245.51023,-3.17178,54227.40133,0
1004088092448,15.56,0.07,245.51026,-3.17178,54227.41023,0
1004088092448,15.57,0.07,245.51029,-3.17179,54227.41913,0
1004088092448,15.57,0.07,245.51019,-3.17178,54227.42805,0
1004088092448,15.57,0.07,245.51024,-3.17177,54237.39777,0
1004088092448,15.59,0.07,245.51025,-3.17183,54237.40430,0
1004088092448,15.54,0.07,245.51030,-3.17180,54237.41081,0
1004088092448,15.60,0.07,245.51019,-3.17177,54237.41727,0
1004088092448,15.58,0.06,245.51026,-3.17183,54244.30398,0
1004088092448,15.56,0.06,245.51026,-3.17185,54244.31011,0
1004088092448,15.59,0.07,245.51025,-3.17178,54244.31622,0
1004088092448,15.55,0.06,245.51026,-3.17180,54244.32234,0
1004088092448,15.58,0.06,245.51025,-3.17176,54567.37184,0
1004088092448,15.59,0.06,245.51031,-3.17183,54567.37985,0
1004088092448,15.58,0.06,245.51028,-3.17180,54567.38784,0
1004088092448,15.56,0.06,245.51031,-3.17182,54567.39586,0
1004088092448,15.55,0.06,245.51028,-3.17185,54573.43889,0
1004088092448,15.63,0.07,245.51022,-3.17179,54573.44427,0
1004088092448,15.62,0.07,245.51029,-3.17173,54573.44967,0
1004088092448,15.60,0.07,245.51029,-3.17182,54573.45506,0
1004088092448,15.56,0.06,245.51025,-3.17184,54582.41127,0
1004088092448,15.51,0.06,245.51027,-3.17180,54582.41723,0
1004088092448,15.58,0.07,245.51027,-3.17181,54582.42317,0
1004088092448,15.54,0.06,245.51028,-3.17180,54582.42917,0
1004088092448,15.58,0.06,245.51027,-3.17179,54530.43928,0
1004088092448,15.57,0.06,245.51030,-3.17177,54530.44949,0
1004088092448,15.57,0.06,245.51030,-3.17180,54530.45968,0
1004088092448,15.59,0.06,245.51024,-3.17180,54530.46989,0
1004088092448,15.54,0.06,245.51029,-3.17181,54555.46930,0
1004088092448,15.57,0.06,245.51024,-3.17174,54555.47641,0
1004088092448,15.54,0.06,245.51027,-3.17184,54555.48354,0
1004088092448,15.56,0.06,245.51029,-3.17178,54555.49072,0
1004088092448,15.61,0.07,245.51023,-3.17171,55058.14873,0
1004088092448,15.57,0.07,245.51027,-3.17178,55058.15422,0
1004088092448,15.59,0.07,245.51016,-3.17181,55058.15970,0
1004088092448,15.54,0.07,245.51035,-3.17176,55058.16521,0
1004088092448,15.57,0.07,245.51028,-3.17181,55039.21021,0
1004088092448,15.59,0.07,245.51026,-3.17178,55039.21808,0
1004088092448,15.57,0.07,245.51023,-3.17181,55039.22585,0
1004088092448,15.55,0.07,245.51028,-3.17183,55039.23374,0
1004088092448,15.60,0.06,245.51029,-3.17183,54983.27736,0
1004088092448,15.59,0.06,245.51026,-3.17181,54983.28394,0
1004088092448,15.57,0.06,245.51027,-3.17180,54983.29066,0
1004088092448,15.59,0.06,245.51025,-3.17179,54983.29735,0
1004088092448,15.58,0.06,245.51028,-3.17182,54911.45909,0
1004088092448,15.58,0.06,245.51025,-3.17178,54911.46402,0
1004088092448,15.54,0.06,245.51033,-3.17182,54911.46884,0
1004088092448,15.56,0.06,245.51027,-3.17181,54911.47368,0
1004088092448,15.55,0.06,245.51028,-3.17182,54921.46619,0
1004088092448,15.54,0.06,245.51029,-3.17182,54921.47446,0
1004088092448,15.58,0.06,245.51028,-3.17183,54921.48296,0
1004088092448,15.56,0.06,245.51027,-3.17179,54921.49157,0
1004088092448,15.62,0.07,245.51025,-3.17178,55089.10949,0
1004088092448,15.61,0.07,245.51027,-3.17175,55089.11247,0
1004088092448,15.58,0.07,245.51033,-3.17177,55089.11545,0
1004088092448,15.58,0.07,245.51028,-3.17181,55089.11834,0
1004088092448,15.58,0.06,245.51023,-3.17178,55294.46202,0
1004088092448,15.60,0.06,245.51026,-3.17175,55294.46776,0
1004088092448,15.54,0.06,245.51027,-3.17177,55294.47355,0
1004088092448,15.58,0.06,245.51028,-3.17176,55294.47940,0
1004088092448,15.59,0.07,245.51025,-3.17177,55384.18444,0
1004088092448,15.56,0.06,245.51024,-3.17177,55348.30547,0
1004088092448,15.55,0.06,245.51031,-3.17176,55348.31244,0
1004088092448,15.56,0.06,245.51022,-3.17180,55348.31926,0
1004088092448,15.54,0.06,245.51021,-3.17179,55348.32617,0
1004088092448,15.57,0.06,245.51024,-3.17177,55270.46110,0
1004088092448,15.60,0.07,245.51026,-3.17176,55270.46806,0
1004088092448,15.61,0.07,245.51024,-3.17176,55270.47500,0
1004088092448,15.58,0.06,245.51030,-3.17176,55270.48203,0
1004088092448,15.58,0.06,245.51024,-3.17176,55276.48343,0
1004088092448,15.59,0.07,245.51025,-3.17177,55276.48868,0
1004088092448,15.59,0.06,245.51026,-3.17176,55276.49393,0
1004088092448,15.55,0.06,245.51029,-3.17177,55276.49915,0
1004088092448,15.59,0.06,245.51023,-3.17182,55455.11699,0
1004088092448,15.60,0.07,245.51015,-3.17178,55455.12882,0
1004088092448,15.56,0.06,245.51026,-3.17180,55455.13450,0
1004088092448,15.57,0.07,245.51025,-3.17179,55656.47213,0
1004088092448,15.57,0.07,245.51024,-3.17178,55656.47675,0
1004088092448,15.60,0.07,245.51026,-3.17178,55656.48144,0
1004088092448,15.56,0.07,245.51025,-3.17180,55656.48610,0
1004088092448,15.57,0.07,245.51027,-3.17179,55664.42224,0
1004088092448,15.59,0.07,245.51028,-3.17180,55664.42804,0
1004088092448,15.58,0.07,245.51024,-3.17177,55664.43386,0
1004088092448,15.59,0.07,245.51031,-3.17180,55664.43969,0
1004088092448,15.59,0.07,245.51022,-3.17172,55716.26661,0
1004088092448,15.59,0.07,245.51023,-3.17177,55716.27230,0
1004088092448,15.57,0.07,245.51026,-3.17175,55716.27803,0
1004088092448,15.55,0.07,245.51027,-3.17175,55716.28374,0
1004088092448,15.57,0.07,245.51028,-3.17181,55734.26826,0
1004088092448,15.57,0.07,245.51026,-3.17175,55734.27463,0
